sCode,noPeriode,sDescription
CC-AA,28,LUN � VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AA,108,LUN � VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AA,125,LUN � VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CC-AC,34,LUN � SAM 9 h - 18 h DIM 13 h - 18 h
CC-AC,125,LUN � SAM 9 h - 18 h DIM 13 h - 18 h
CC-AK,28,LUN � VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-AK,111,LUN � VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-AK,125,LUN � VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-AW,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-AW,125,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h DIM 13 h - 18 h
CC-BE,64,LUN � SAM 9 h - 17 h DIM 13 h - 17 h
CC-BE,127,LUN � SAM 9 h - 17 h DIM 13 h - 17 h
CC-PB,28,LUN � VEN 9 h - 15 h 30 17 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-PB,31,LUN � VEN 9 h - 15 h 30 17 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-PB,113,LUN � VEN 9 h - 15 h 30 17 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-PB,125,LUN � VEN 9 h - 15 h 30 17 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CC-QT,28,LUN � VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
